tier,ps,ki,incident_id,field,comparison,extracted,ground_truth
Haiku,PS1,KI1,2026-04-10-eb21,event.event_type,incorrect,Cybersecurity warning,AI hazard
Haiku,PS1,KI1,2026-04-10-eb21,ai_system.system_type,incorrect,AI model,generative AI
Haiku,PS1,KI1,2026-04-10-eb21,harm.harm_type,incorrect,"Cybersecurity risk, potential for advanced cyberattacks",economic
Haiku,PS1,KI1,2026-04-10-eb21,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-10-eb21,event.event_date,correct,2026-04-10,2026-04-10
Haiku,PS1,KI1,2026-04-10-eb21,ai_system.name,correct,Mythos,Mythos
Haiku,PS1,KI1,2026-04-10-eb21,ai_system.developer,correct,Anthropic,Anthropic
Haiku,PS1,KI1,2026-04-10-eb21,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-10-eb21,event.event_location,correct,"Washington, United States","Washington, United States"
Haiku,PS1,KI1,2026-04-10-eb21,harm.affected_parties,correct,"Financial institutions, banks",financial institutions
Haiku,PS1,KI1,2026-04-10-0818,event.event_type,incorrect,Environmental harm from AI infrastructure,AI incident
Haiku,PS1,KI1,2026-04-10-0818,ai_system.system_type,incorrect,AI-powered data centers,other
Haiku,PS1,KI1,2026-04-10-0818,harm.harm_type,correct,"Environmental harm, air pollution, public health harm",environmental
Haiku,PS1,KI1,2026-04-10-0818,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-10-0818,event.event_date,correct,2026-04-10,2026-04-10
Haiku,PS1,KI1,2026-04-10-0818,ai_system.name,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-10-0818,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-10-0818,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-10-0818,event.event_location,correct,"St. Louis, United States","St. Louis, United States"
Haiku,PS1,KI1,2026-04-10-0818,harm.affected_parties,correct,Marginalized communities near coal facilities in North St. Louis,marginalized communities near coal facilities
Haiku,PS1,KI1,2026-04-10-2b35,event.event_type,incorrect,AI system misconduct and operational failure,AI incident
Haiku,PS1,KI1,2026-04-10-2b35,ai_system.system_type,incorrect,Store manager,ai agent
Haiku,PS1,KI1,2026-04-10-2b35,harm.harm_type,incorrect,"Misinformation, Privacy violation, Operational error, Deception",rights violation
Haiku,PS1,KI1,2026-04-10-2b35,harm.severity,missing,not stated,moderate
Haiku,PS1,KI1,2026-04-10-2b35,event.event_date,correct,2026-04-10,2026-04-10
Haiku,PS1,KI1,2026-04-10-2b35,ai_system.name,correct,Luna,Luna
Haiku,PS1,KI1,2026-04-10-2b35,ai_system.developer,incorrect,Anthropic and Google,"Anthropic, Google"
Haiku,PS1,KI1,2026-04-10-2b35,ai_system.deployer,correct,Andon Market,Andon Market
Haiku,PS1,KI1,2026-04-10-2b35,event.event_location,correct,"San Francisco, United States","San Francisco, United States"
Haiku,PS1,KI1,2026-04-10-2b35,harm.affected_parties,correct,"Andon Market employees, Job applicants",Andon Market employees
Haiku,PS1,KI1,2026-04-10-9248,event.event_type,incorrect,Legal action / Lawsuit,AI incident
Haiku,PS1,KI1,2026-04-10-9248,ai_system.system_type,incorrect,Recommendation algorithms / Content personalization algorithms,recommendation system
Haiku,PS1,KI1,2026-04-10-9248,harm.harm_type,incorrect,"Addiction, Mental health harm",psychological
Haiku,PS1,KI1,2026-04-10-9248,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-10-9248,event.event_date,correct,2026-04-10,2026-04-10
Haiku,PS1,KI1,2026-04-10-9248,ai_system.name,hallucinated,AI-driven features on Instagram and Facebook,not stated
Haiku,PS1,KI1,2026-04-10-9248,ai_system.developer,correct,Meta Platforms,Meta Platforms
Haiku,PS1,KI1,2026-04-10-9248,ai_system.deployer,correct,Meta Platforms,Meta Platforms
Haiku,PS1,KI1,2026-04-10-9248,event.event_location,correct,"Massachusetts, United States","Massachusetts, United States"
Haiku,PS1,KI1,2026-04-10-9248,harm.affected_parties,correct,"Young users, Adolescents",adolescents
Haiku,PS1,KI1,2026-04-09-257d,event.event_type,incorrect,Mass shooting / Criminal use of AI system,AI incident
Haiku,PS1,KI1,2026-04-09-257d,ai_system.system_type,incorrect,Large language model / Conversational AI,chatbot
Haiku,PS1,KI1,2026-04-09-257d,harm.harm_type,incorrect,"Mass shooting, Criminal behavior, Self-harm",physical
Haiku,PS1,KI1,2026-04-09-257d,harm.severity,missing,not stated,severe
Haiku,PS1,KI1,2026-04-09-257d,event.event_date,missing,not stated,2026-04-09
Haiku,PS1,KI1,2026-04-09-257d,ai_system.name,correct,ChatGPT,ChatGPT
Haiku,PS1,KI1,2026-04-09-257d,ai_system.developer,correct,OpenAI,OpenAI
Haiku,PS1,KI1,2026-04-09-257d,ai_system.deployer,missing,not stated,OpenAI
Haiku,PS1,KI1,2026-04-09-257d,event.event_location,correct,"Florida State University, Florida, United States","Florida, United States"
Haiku,PS1,KI1,2026-04-09-257d,harm.affected_parties,correct,"Florida State University community, victims of shooting",Florida State University
Haiku,PS1,KI1,2026-04-08-2422,event.event_type,incorrect,Restricted AI release due to security risks,AI hazard
Haiku,PS1,KI1,2026-04-08-2422,ai_system.system_type,incorrect,Advanced AI model,generative AI
Haiku,PS1,KI1,2026-04-08-2422,harm.harm_type,incorrect,"Cybersecurity risks, potential misuse for cyberattacks",economic
Haiku,PS1,KI1,2026-04-08-2422,harm.severity,missing,not stated,moderate
Haiku,PS1,KI1,2026-04-08-2422,event.event_date,correct,2026-04-08,2026-04-08
Haiku,PS1,KI1,2026-04-08-2422,ai_system.name,correct,Claude Mythos,Claude Mythos
Haiku,PS1,KI1,2026-04-08-2422,ai_system.developer,correct,Anthropic,Anthropic
Haiku,PS1,KI1,2026-04-08-2422,ai_system.deployer,missing,not stated,defensive industry consortium
Haiku,PS1,KI1,2026-04-08-2422,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-08-2422,harm.affected_parties,missing,not stated,"software industry, general public"
Haiku,PS1,KI1,2026-04-08-347d,event.event_type,incorrect,Misuse of AI-generated deepfake for false crime reporting,AI incident
Haiku,PS1,KI1,2026-04-08-347d,ai_system.system_type,incorrect,AI deepfake video generation,generative AI
Haiku,PS1,KI1,2026-04-08-347d,harm.harm_type,incorrect,"False crime reporting, resource waste, potential racial bias in false accusation, obstruction of justice","rights violation, reputational"
Haiku,PS1,KI1,2026-04-08-347d,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-08-347d,event.event_date,correct,2026-04-08,2026-04-08
Haiku,PS1,KI1,2026-04-08-347d,ai_system.name,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-08-347d,ai_system.developer,true_negative,not stated,not stated
